onset	duration	value	event	stim_file
165331	0	21	white/angry/deviant/1	SHINEd_010_y_f_a_a.jpg
165427	0	20	cross/white	n/a
165933	0	22	white/angry/standard/2	SHINEd_010_y_f_a_a.jpg
166047	0	20	cross/white	n/a
166565	0	23	white/angry/standard/3	SHINEd_010_y_f_a_a.jpg
166674	0	20	cross/white	n/a
167191	0	24	white/angry/standard/4	SHINEd_008_y_m_a_b.jpg
167300	0	20	cross/white	n/a
167824	0	25	white/angry/standard/5	SHINEd_010_y_f_a_a.jpg
167944	0	20	cross/white	n/a
168480	0	26	white/angry/standard/6	SHINEd_010_y_f_a_a.jpg
168595	0	20	cross/white	n/a
169118	0	21	white/angry/deviant/1	SHINEd_010_y_f_a_a.jpg
169233	0	20	cross/white	n/a
169763	0	22	white/angry/standard/2	SHINEd_010_y_f_a_a.jpg
169877	0	20	cross/white	n/a
170425	0	23	white/angry/standard/3	SHINEd_010_y_f_a_a.jpg
170552	0	20	cross/white	n/a
171070	0	24	white/angry/standard/4	SHINEd_008_y_m_a_b.jpg
171160	0	20	cross/white	n/a
171678	0	25	white/angry/standard/5	SHINEd_010_y_f_a_a.jpg
171804	0	20	cross/white	n/a
172322	0	26	white/angry/standard/6	SHINEd_010_y_f_a_a.jpg
172418	0	20	cross/white	n/a
172900	0	27	white/angry/standard/7	SHINEd_010_y_f_a_a.jpg
172985	0	20	cross/white	n/a
173490	0	21	white/angry/deviant/1	SHINEd_010_y_f_a_a.jpg
173611	0	20	cross/white	n/a
174117	0	22	white/angry/standard/2	SHINEd_010_y_f_a_a.jpg
174201	0	20	cross/white	n/a
174671	0	23	white/angry/standard/3	SHINEd_010_y_f_a_a.jpg
174761	0	20	cross/white	n/a
175243	0	24	white/angry/standard/4	SHINEd_008_y_m_a_b.jpg
175333	0	20	cross/white	n/a
175827	0	25	white/angry/standard/5	SHINEd_010_y_f_a_a.jpg
175929	0	20	cross/white	n/a
176459	0	26	white/angry/standard/6	SHINEd_010_y_f_a_a.jpg
176592	0	20	cross/white	n/a
177109	0	41	white/happy/deviant/1	SHINEd_037_y_m_h_a.jpg
177194	0	20	cross/white	n/a
177688	0	42	white/happy/standard/2	SHINEd_028_y_f_h_a.jpg
177796	0	20	cross/white	n/a
178308	0	43	white/happy/standard/3	SHINEd_028_y_f_h_a.jpg
178410	0	20	cross/white	n/a
178898	0	44	white/happy/standard/4	SHINEd_028_y_f_h_a.jpg
178988	0	20	cross/white	n/a
179470	0	45	white/happy/standard/5	SHINEd_028_y_f_h_a.jpg
179560	0	20	cross/white	n/a
180078	0	46	white/happy/standard/6	SHINEd_028_y_f_h_a.jpg
180193	0	20	cross/white	n/a
180705	0	61	white/neutral/deviant/1	SHINEd_008_y_m_n_b.jpg
180807	0	20	cross/white	n/a
181301	0	62	white/neutral/standard/2	SHINEd_008_y_m_n_b.jpg
181397	0	20	cross/white	n/a
181879	0	63	white/neutral/standard/3	SHINEd_008_y_m_n_b.jpg
181969	0	20	cross/white	n/a
182463	0	64	white/neutral/standard/4	SHINEd_008_y_m_n_b.jpg
182565	0	20	cross/white	n/a
183101	0	65	white/neutral/standard/5	SHINEd_008_y_m_n_b.jpg
